,Review,Rating
891,"diva friendly just returned staying days hotel diva highly recommend hotel, friendliest hotels stayed ruth desk david concierge diva warm inviting place stay fellow co-workers.we upgraded king room bed comfortable great nights sleep day/night sight seeing partying, room comfortable cable tv dvd player small bathroom ok plus room safe useful, internet lounge floor 9th access time free, really enjoyed room return day peaceful quiet, hotel great location stones throw away shopping eating entertainment areas, easy access bart f car, check diva like hotels personality friendly inviting, choose queen king room not regret it.special thanks ruth david stay,  ",5
7237,"terrific hotel near pantheon hotel great choice, rooms bathrooms extremely large paris standards, decor room furnishings equisite taste excellent condition, staff kind helpful, american used air conditioning nice hot day a/c not provided hottest months year, hotel literally feet pantheon, best metro stop rer stop luxembourg say hotel couple blocks luxembourg gardens, drawback metro n't super close, area safe beautiful, n't miss eglise st. etienne du mont, basically corner hotel, check hotel website great rates, n't stayed hotel des grands hommes sure list visit,  ",4
16728,"good basic place 2 sisters stayed overnight undergoing surgery morning needed place close hospital, travel great deal business used hilton/ sheraton type ammenities requirement book, no frills clean cheap san francisco standards place stay check, rooms extremely small n't count goodies like nice soap shampoo hairdryer, friendly staff great location decent neighborhood terrific restaurant right door metro kahtmandu, hotel beautiful courtyard interesting shops block, parking little dicey 6:00 pm 9:00 arrangement business 1/2 block away use lot free, definitely stay just looking place sleep clean explore city, sit-in-your-hotel-room kind person advise checking probably paying 3 times nightly rate,  ",4
638,"good money needs updating booked room priceline 129, listed price fairmont.com 260+ night, 129 not bad great location street copley place prudential center, parking area experience, arrived late saturday able park street meter n't require fed sunday, ca n't metered spot park garage youself walk block area cost 20 night, hotel charges 30- 40 plus tip garage, room old somewhat outdated, mousetrap entertainment center good know needed, bathrooms newer paint tile job not crisp expect tier hotel, probably not right place stay travelling business lack electrical outlets, bed adequate not westin/starwood heavenly bed levels standard room 300 range, overall room o.k, price location hard beat, just not wanted pay 250 tax parking rate,  ",4
18995,"fabulous hotel booked stay hilton website got good deal bed breakfast, minute stepped door staff not pleasant helpful, diamond hilton honours upgraded executive floor given beautiful spacious room, beds comfortable, room immaculate, separate shower bathroom great.we arrived 9.30 able check great week-end.the executive lounge good nice breakfast selection, wider selection restaurant, canapes drinks available lounge 6-9pm good selection drinks.the hotel bit dlr hotel tube station 5 mins walk.we great stay no hestation returning,  ",5
13792,"fantastic hotel, second stay adagio truly treat, staff friendly helpful, cortez real gastro delight funky inside, relaxed welcoming atmospshere, hotel location class geary street great cafes art galleries blocks union square, rooms large beautifully decorated great city views, olympic cafe adagio great breakfast hangout,  ",5
17374,"shame reception hotel average apartments ok reception staff not interested talked whilst tried check, failed tell key activated lift reception closed 10pm using american express cost credit cards.the rooms adequate noise saturday night terrible, no party rule obviously not enforced, central location fine pool closed sauna disapointment, meriton pitt street better option,  ",3
7499,"loved, just returned new orleans wonderful astor crowne plaza, place amazing, helpful nice rooms fabulous best weekend, people exceptionally great, 1 nalander skip evening manager, best, helped everyway possible, definitely travel agent strongly advise clients traveling new orleans stay property, skip complimented,  ",5
8456,"lovely hotel stayed hotel beginning trip flying paris decided rebook returned loved, location hotel wonderful just near arc triomphe champs elysees, said hotel quite street does not lot traffic cause noise, staff lovely helpful, arrived upgraded times room 5th floor amazing, space clean planned, thought hotel just wonderful happy,  ",5
10364,"great location fantastic location rooms clean simple not looking luxury.staff friendly helpful perfect location central easy walk sites 10 mins walk train station santa maria novella ideal base enjoyable days florence,  ",4
8977,"great hotel great location hotel located la rambla city centre close access shops tour buses.the room immaculate 42 plasma screen screen bathroom.there nice blue ambient lighting room good amenities.the bathroom large equipped.concierge staff overall friendly helpful recommended lot restaurants night spots visit absolutely wonderful.there business centre use free open 24 hours.the thing disliked face in-room safe bit small did not fit laptop.i definitely recommend hotel,  ",5
3933,"loved embassy suites amazing value great staff, review really went great hotel es offer wo n't write huge review thought amazing service entire staff right moment checked 11am ilene desk manager suite ready did eat twice outback steakhouse night ordered happy hour margaritas told 7pm looked watch 6:49 waiter watch 6:48, asked change time, came sweated abit turns manager trying make pay price went honoured happy hour prices, 6:55 apologized times relieved not upset wondered happened, enjoyed meals night steaks ribs good, second time arrived 6 tiring day rainforest hamburgers chicken burgers happy hour margs lol incredible walk isla verde blvd quick maybe 3-5 min walk thought mistakenly walk city blocks cross extremely busy freeway beach not case, walked little street crosswalk burger king strip mall lovely beach wow speaking burger king/ponderosa strip mall lovely puerto rician restaurant named mi casta wrng sorry ate great cheap busy delighted largness king bed bedroom suite, housekeeping left room spotless changed sheets day, buffet servers clear away plates servers manager reception delight, sure tip housekeepers breakfast staff bartenders reception drinks seconds standing line, truly not say good things hotel great value staff, yea furniture little dated cares, not paying westin intercontinental ritz prices hotel, paid 143.00 plus taxes resort fee car did not valet parking actually waived parking think hh member, nice touch.i travel alot work stay nice hotels resorts say es staff really pack great stay just,  ",5
7485,"cigarette smoke booked hotel reasonably priced hotel staying booked, stay exclusively holiday inn hotels figured ok despite reports location trip advisor, hotel little north commercial seattle really did n't problems location site seeing away area, appeared newer hotel oldest beds hi express stayed, worn hear springs time moved.the biggest disappointment hotel not smoke free, known likely not booked, room farthest smoking wing smell smoke room sure non-smoker quite unpleasant, not mention n't thrilled having children exposed smoke, nothing smokers hotel probably better complete floors smoking non-smoking smell does n't travel hallway.two minor inconveniences fact washer dryer laundry no business office just desk, good size dining room breakfast morning nice.overall n't worst hotel stayed likely stay cigarette smoke uncomfortable beds,  ",2
10481,"wonderful stay just got 4 night stay hotel washington excellent, quiet street museum area walking distance leidsaplein vondelpark, central station bit far tram just short walk away really convenient distant areas like dam square jordan, coming home tired, definitely recommend going prisengracht jordan beautiful canal tour boarded heineken experience.the staff really friendly allowed check early 9am extra charge, just let know, stayed large double room actually 2 single beds thought bit strange, faced garden nice clean bathroom, small issues room second floor wake 7:30am noises breakfast service directly downstairs, late riser did n't like, floors creaky hear people walking, facing garden hear loud birds chirping morning, nice decor bedroom nicer, things really did n't affect enjoyment, fell asleep breakfast nice served lovely room 8-10am, looks deceptively small actually fills quite nicely keeps going till lunch, restaurants area expensive, place close-by food inexpensive really delicious, called pompa corner willemsparkweg van barlestraat, make amazing salads, entree 8-12 euro places area averaged 18 euro.i enjoyed fact stay like staying home opposed big generic hotel, definitely recommend hotel wants cozier traditional dutch hotel experience,  ",5
3956,"loved went pr time summer embassy suites great selection, traveled seven females loved hotel, staff great free breakfast order great addition manager reception free drinks evening 5-7pm, hotel located close 1 2 blocks hotels/ clubs beach 2 blocks away, embassy suites beautiful pool jacuzzi area not mention handsome pool men plan return year girls,  ",4
1645,"good value money stayed nights excelent location union square small bath rooms clean kind staff,  ",3
1340,"loved parc stayed waikiki parc 5/26-5/30 memorial day weekend, little worried n't great experience, hotel did right, everybody gives best service desk housekeeping valet parking waiters, prepared ask upgrade booked deluxe mountain view room w/breakfast open mouth automatically upgraded oceanview room, wonderful got hear halekulani evening night free, room nice clean big 2 adults 1 child, pool 8th floor nice not deep, beach hop alleyway really nice close beach, main drag kalekahua street right heart waikiki walking distance choose not rent car.the valet parking free privileges really handy come lay pool relax stuff, stay included breakfast great did n't worry eating long time, did pay daughter breakfast includes adults.concierge hooked cheap rental car advised tours told little things like aloha bowl stadium swap meet going pearl harbor got early like 7am, make sure not miss snorekling hanauma bay kailua beautiful beach polynesian cultural center high tea kahala oriental hotel dolphin program play dolphins pearl harbor diamond head.the hotel sent airport limousine, wish knew called limo pick, hotel service phenomenal hotel nice definitely stay,  ",5
17234,"nightmare start dates family went feb11-18 huge property not run desire, room infested mosquitos, wife killed 20 mosquitos nite just sick, discusting mosquito masacre expected dead carcases wiped cleaned day guess nothing, upsetting, food ok not great, n't understand bars particular drink bar need pay.hello inclusive, entertainment far nightly shows great, staff friendly desk needed help.if, n't,  ",2
1870,"great value great location trip advisor led hotel pleased, no frills place stay staff friendly location great.fisherman wharf easy walking distance bus tram routes sf, hotel situated bohemian town lots relaxed restaurants coffee shops just round corner, area felt safe, staff helpful helped map places not, advice valuable, rooms clean adequate didnt spend time remember no type hotel facilities.the castle inn great option travellers dont mind slightly town need safe shooting distance attractions, definitely recommend,  ",4
15888,"good choice central tokyo stayed just night hilton shinjuku way micronesia.the hotel great location just 5 min walk shinjuku main streets shops restaurants easy reach narita limousine bus service stops right hotel door.our twin room spacious quite clean comfortable, bathroom little bit small japanese standards furnished need, beds large comfortable.service efficient luggage got lost desk managed communications airport efficiently recorded messages dinner.i certainly reccomend hotel,  ",3
4002,"great place stay san juan stayed hotel 3 nights good time, location great people friendly helpful, rooms clean nice come spent time outside streets old san juan beach day, complementary rooftop breakfast morning enjoyable perk, hotel milano puts right center old san juan beach short bus cab ride away, downside bit noisy depending room located hotel busy street, noise factor not issue, great place stay,  ",5
12005,"really nice pleased 4 day stay seasons sydney.i thought opera view room adequately sized nicely appointed, quiet, hear a/c, room not ready arrived 9:00 a.m. allowed use spa fitness room pool, worked fitness room dip pool jacuzzi showered changed day, room available 11 a.m.the negatives room instant coffee provided use french press coffee maker make-up mirror mounted obviously 6 foot plus person way high use average woman, location not beat, stayed hotel definitely choose circular quay/rocks area, walk opera house ferry terminal botanic gardens modern art museum sydney bridge weekend market shops restaurants rocks area, concierge desk helpful recommending tours restaurants, restaurants hotel expensive numerous options outside hotel concierge good recommending inexpensive cafes breakfast not just pointing hotel dining room occur hotels, no extra charge use equipped spa fitness room sauna steam rooms, coffee tea juice fruit complimentary spa day.the price room actually comparable room nearby marriott able weekend discount friday saturday sunday nights not offered hotels, definitely return seasons,  ",5
7926,"terrific experience just returned weekend stay impressed, location perfect short walk union square noise, cable car right door route n't busy, service hotel door man bell men desk housekeeping flawless.i 2 rooms 1 signature room 16th floor limited view decorated tastefully beds extrememly confortatble, room 17th floor floor view bay decore not night signature room.i breakfast hotel restaurant bob steak house excellent.i highly recomennd hotel nicer saw including westin st francies grand hyatt, definetely stay,  ",5
10053,"boutique style hotel near arc triomphe just champs elysees booked romantic package 3 nights superior room costing 975euroschecked 11am left bags reception friendly advice check 2pm.we returned 3pm stroll eiffel tower 15 mins walk away hotel waited 5 minutes luggage taken room 41 facing north, pre ordered music candles half bottle champagne small fancy cakes rose petals arranged heart shape bed lovely mark 20 years together.well decorated clean room huge bed seperate bathroom wc felt like small apartment french windows opening inward sat window champagne baguettes bought nearby convenience shop looking beautiful french townhouse no city views hotel.breakfast small area close reception got busy smartly dressed french business guests good selection pancakes syrup pastries toast scambled eggs fruits yoghurts juices cereals plus milk cereal not chilled small fridge cheeses boiled eggs.found paris expensive exchange rate worth especially lovely sunshine had.all tourist sites large queues recommend hour wait notre dame 7.50euro queue left look cathedral queue entrance looking inside free dont miss eiffel tower lit night.metro similar london underground 5.30 euro day pass.go small orangrie gallery place la concorde monets huge water lilie canvases 9am ones no sight upgrade parting gifts guests mentioned good superior room bathrobe complimentary slippers recommend,  ",4
9208,"poor bathroom no major issues hotel major problem room lack, layout cubicles shower wc sink room undoubtedly saves space looks modern creates problems, better friendly room-mate toilet shower practically bed no privacy, open plan shower over-ran room causing flood time used not unusual flooded bathroom floor hotel bedroom floor bit problem, 32nd floor hotel great view old east city, hotel seen miles finding no problem.the immediate location hotel alexanderplatz convenient access berlin__Ç_é_ excellent confusing transport systems, txl airport bus airport 4 euros remember buy validate ticket asked plain clothed inspectors, nice shops burger king large department store steps hotel longer journey required nice meal, overall location far away main sights shopping areas berlin mainly old west,  ",3
19387,"lovely hotel downtown madrid day layover madrid wanted quiet hotel downtown madrid close subway, room mate alicia, given upgraded room beautiful view plaza santa ana, hotel includes free wi-fi appreciated, room clean comfortable, bathroom nice, staff helpful.the location ideal tapas restaurants sightseeing close major museums, short 5-10 minute walk metro took to/from airport, concerned noise busy street sound insulation excellent.in spanish style breakfast does n't begin 8, flight time missed breakfast,  ",5
19257,"favorite ws, business travel brought dallas decided stay true starwood reviews hotel pretty dismal, went low expectations say really thought better ws chance stay at.first know going stay w not seasons ritz, deal trendy modern hip, compared ws like really dark times square w fun open, thought room configuration super cool, probably not ideal travelling spouse bathroom not private open bedroom ca n't walk room going bathroom area, beds awesome great flat screen tvs, hotel restaurant craft world, really accomodating single business traveller, valet parking quick courteous helpful getting driving directions trying, check check great.i did n't advantage club trip quite line did n't like having hotel key difference not case locations definitely stay time travel brings dallas,  ",5
4003,"service compare just spent nights 10-day puerto rico vacation hotel milano, owner juan san emeterio clearly highpoint not stay entire vacation, gracious attentive generous utterly delightful, room clean quiet simple bed comfortable, definitely return not stay room extremely tiny windows, hotel credit clerk took booking mentioned small windows room said free unimaginably tiny 10 inches square high just ceiling, guests mentioned windows fine, room problem encountered no way control ac asked given existing remotes desk worked fine, loved able continental breakfast outside rooftop encroaching development fast shrinking view city, evening restaurant grill no longer operation great restaurants worth exploring just block hotel no shortage great dining experiences, juan gave excellent recommendations meals old san juan really great, hotel location superb walking old san juan, wanted outside city juan facilitated trips produce market santurce art museum beautiful, etc. including airport departed, ca n't wait return san juan bask warmth city warmth emanates juan san emeterio hotel milano,  ",5
7739,"treated like royalty proposed girlfriend ritz carlton couple weeks ago, booked park view room worked hotel staff make moment perfect, katie guest services rest staff exceeded expectations, upgraded room stunning views felt pampered hotel staff feel like royalty, having stayed hotels hawaii paris italy experience ritz carlton central park compare,  ",5
14222,"let, wonderful chance visit puerto rico wonderful not paradisus, rooms junior suite appeared clean nicely appointed strong musty smell, sheets bed felt damp closet phone smelled like performing science experiment growing mold spores them.the resort quite far no sight seeing restaurants, believe want different places eat especially want try local puerto rican flavor, suggest cafÄ called spangilsh old san juan late arrival 9:45 p.m. traveling 11 hours seattle wa wanted sit nice steak dinner, attempted 3 restaurants told needed reservations clearly open tables avocado closing needed restaurants, mistake going itallian restaurant, better skip buffets, choked wilted cesar salad soup little wine went room ordered room service, enjoyed burger blt wrap room service mainly hungry, read reviews exact picture resort property lovely especially pool area.food substandard best.service poor specific exceptions royal service room personnel traditional beach non-existent.very little night.way far offerings puerto rico.all inclusive does not include quite bit, e.g. spa treatments transportation san juan, tipping expected want kind service.so ask, say yes stay san juan,  ",2
102,"absolutely charming good value stayed numerous hotels seattle characterless star chains suites westin olympic past 45 plus years, inn queen anne really stands crowd, just best value accommodation seattle, loved place, older converted brick apartment building loaded charm, enter pretty courtyard trees flowers, wonderful-smelling hallways stained-glass light fixtures wing-back chairs sprinkling antiques, rooms not large far tiny comfortable clean, standard queen, slightly larger rooms queen twin, junior suites bedroom suites, mission-style furnishings upscale expected star hotel, bath small cute pedestal sink gold mirror elegant light fixture, soaps, upscale towels not huge tremendously fluffy adequate expected, did n't use little kitchen certainly come handy lot people, room nice walk-in closet real surprise, queen-sized bed firm comfortable carpets newer clean, staff friendly accommodating free continental breakfast fresh good, parking street 10 hotel bargain seattle.i know writers complained hotel n't understand, place cute charming fun heck good deal, recommending friends 87 year-old mother, like same-same cookie-cutter not place, charm individuality slight touch refinement grace elegance fall love did,  ",5
14785,"lovely just got staying 8 nights maestri, stayed 1 bedrm aprt really pleased, spacious clean need, n't view though.there small indoor pool gym bround floor, 5min walk darling habour 15-20 min walk circular quay.thought apartments good value,  ",4
20120,"theres better resorts d.r, 2nd time dr. aware slow pace lifestyle understood poor country, doesnt bother loved dominican people nicest people world beautiful country want add 3 happy lucky people open minded pacient, said aug22 29. review 100 honest, check in- quick yes drinks served arrival, ride airport 30 min.rooms- requested ocean view got garden view did n't care, showers broken toilets did n't flush time tvs worked wanted converters acctivated calling desk not allowed going collect calls rooms cleaned day fridge stocked daily towels maid service good beds honestly hard rock backs hurt sheets small bed, no bugs room places, hotel grounds- pretty dirty common cockroaches tons moths roaming hall way buildings open coming room night right door mountain lion bobcat ran right no n't typical house cat, did n't big landscaping, mind hotel looked amazing.pool- way warm cups straws floating common, swim gear dried pool swim clothes reeked urine yes thats right urine, pool cleaned infact bar tender got cups floating, pool area stunk noticed bartenders throwing leftover drinks pool deck guess throwing sink easy fruity alcoholic drinks really start smelling pretty bad dominican heat.beach- beautiful amazing lot cigarette butts really nice, left deserted beach.activities- great lots, board.food- food excellant friend got pretty sick, italian- best la cartes french- sucked tried mexicanbuffet-all meals greatjapanese- sat diner ready eat saw cockroach walk plate, got left right away went buffet, snack bar- excellant.tips- left tips tip people make nothing work butts friendliest people world, gave bar tenders old baseball hats went crazy brought makeup maids chocolates people appriciative stuff.disco- fun typical caribbian resort disco n't expect saturday night fever, songs night pretty fun.people- like said resort 75 europeans true, lots topless women.good place relax not party resort trust families couples, bad good great time dominican beautiful place n't going let ruin trip advise spend 50 150 resort punta cana love country not want people wrong impression country just bad resort.i highly recommend sunscape punta cana feel free ask questions remember entitled opinion,  ",2
14976,"amazing boutique hotel great location price great, having travelled lot say barcelona cool city, jazz hotel excellent, location walking distance las ramblas number touristy things, hotel staff young enjoy thier work, room facilities perfect tourists likely not suited business travel,  ",5
14005,"stay, budget travellers really offer lot price e.g.air conditioning safe elevator clean nicely decorated rooms clean bathrooms important incredibly helpful friendly+metro station street-breakfast kosts extra 12euros ist quite alright serve room wished-so no fear dingy overpriced parisian hotels just stay france albion,  ",5
17661,"outstanding great hotel, lots hisortic features thoughtfully blended modern touches expect, roof pool bar area highlight sure check indoor pool prettty special.paying extra delux room comes great private terrace essential.nominally 4 star hotel believe, strange better nearly 5 stars stayed,  ",5
2049,"really nice place, husband stayed garden avenue hotel 41st wedding anniversary, huge room overlooking st. charles street, clean nicely furnished convenient, streetcar stopped right outside door, staff friendly helpful, breakfast quite nice english muffins blueberry muffins bagels milk cereal coffee, ate dinner door voodoo bbq, meat melted mouth great, pleased stay definitely stay,  ",5
14502,"big rooms good service noisy stayed nights july 2006. night stayed suite 21th floor, consisted badroom livingroom soffas lavatory bathroom, suite minibars widescreen tvs espresso machine, overall nice, view city spectacular corner room outside traffic bit noisy hotels airconditioning.on second night stayed executive room 22th floor, consisted big room big bathroom, nice bit noisy outside traffic ac.in opion hotel spend money just make sure room high building, bit far main tourist attractions barcelona beaches,  ",4
15818,"hotel history stayed hotel long time ago highly reccomend, chose hotel just read claws dragon john byron john pack. biography kang sheng high level politburo member cultural revolution, planing staying read book facinating background,  ",5
7817,"good airport hotel son husband recently stayed hotel recommend, nice clean hotel convienently located right airport, literally right airport n't hear airport noise room nice, looking reasonably priced good hotel recommend,  ",4
16553,"nice place discover stayed 2008 10 enjoyable nights, great location shoppers great pool great breakfast, small prob booked late 6pm checkout hotel said not case 12 noon check infinity flight centre not arranged, negotiated 6pm,  ",4
12284,"great experience, second stay homewood suites wonderful, rooms clean spacious beds comfortable, location convenient away noise quarter, breakfast offering convenient well-attended staff, experience especially terrific service received, check-in entire stay staff gracious extremely helpful, stayed places new orleans hands-down best,  ",5
20363,"perfect spot unique boutique overused days hotel realm beach house got exactly looking, tiny hotel right isla verde combines laid attitude fresh style really mirror spirit san juan, arrived late thursday night, quick trip rooms dashed la plage hotel__Ç_é_ beachfront bar restaurant best mojitos planet, dj spinning local crowd fun beauties enjoying perfect evening, knew picked right spot.with drinks hand manager invited tour temporary home, shown large indoor lounge venue la folie breakfast area, way provided run activities planned upcoming days, included dj parties beach service sunday brunch, planning simple, room clean spare exactly beach hotel, lots little touches room bright hip including colorful textiles interesting pottery gorgeous flowers, spa amenities nice use ipod docking station, ate la plage times, absolute best meals stay puerto rico, paella better 75 paella spain tapas style appetizers original delicious, just like rest hotel service similar guest home gracious friend, absolutely, place wish instantly plug nice scene complete excellent hosts perfect spot beach seemingly effortless ambience cool,  ",5
19334,"nice expensive stayed night palomar impressed decor furnishings zen-like minimalistic, did request quiet room goldfish got room central expressway no goldfish, non-dallasites live just outside dallas want request room east mockingbird lane believe even-numbered rooms just wait check-in better luck getting goldfish wait check, view not great just close drapes lousy view traffic noise.the downside price, booked perfectescapes dot com linked tripadvisor paid 143 179 189 quoted website, add mandatory 18 valet parking charge taxes came 180 door.well not really door did eat central 214 advised drinks run 10, food good got hanger steak huge bargain 22 good medium rare tender wife got fish day think 28 shared crab cakes grilled romaine salad salad taste gas propane wood guy dont wood grill crab cakes fish good got kind chocolate tart desert just ok. fairly noisy crowded separate room view kitchen less-bad, bar hopping trendy single types 8pm, 100 including 15 tip did not drinks dinner drinks appetizers trader vics dallas just corner recently opened mainly just nostalgia purposes, drinks priced not great not impressed mai tai claim invented mai tais hawaii paid 12 crab rangoon appetizers 10 ok not great, heard food main dining just hit miss atmosphere ambiance worth checking, early like 5-6pm, 35 including 5 tip.back palomar staff attentive wine reception 5pm inexepensive stuff not bad free free coffee tea morning lobby incredibly comfortable beds nice lg 32 lcd good selection hd channels comfortable robes cost 120 event want home, nice outside lap type pool vanishing edge hot tub second floor roof cozy little cabana type things friggin snowing easter dallas did not partake looks like fun warm summer evening.also nice shopping restaurants street mockingbird station weather permitting outside easy walk, visiting dallas dart venues like american airlines center etc.purpose trip romantic getaway person claiming wife pamper bit think worked real nice, enjoy,  ",4
16102,"not bad better stayed 2 nights recently, hotel style modern tried cool concept design furniture, 15minutes walk las ramblas quiet residential area, overall 79 euros double not bad value cleaning rooms average ask soap everyday cleaned room didnt replace, rang asked iron ironing board told didnt pay 5 euros shirt wanted ironed 24 hours, overall hotel not bad value money certainll lacked,  ",2
12078,"avoid country booked four-day family easter break visit royal easter sightsee..most disappointing, hotel packed capacity, room small dirty needed coat paint good scrub, bed bugs cold showers morning 2 wall containers shower gel no soap shampoo complimentary breakfast ran seating food morning, stayed previously enjoyed repeat customers thought patronage rewarded, camping preferable endured cheaper, hotel encountered bed bugs travelled extensively australia overseas, complained leaving management no empathy busy easter period no excuse,  ",1
10841,"great spot, stayed wife acacia nights june moving barcelona hotel join friends, great hotel large quiet one-bedroom unit large bathroom small convenient kitchen area, spotlessly clean desk staff friendly helpful, lots shops restuarants area best meals week barcelona lunch restuarant right door hotel right hotel facing, added bonus nearest subway station just 1/2 block away, hotel 8 blocks rambla catalunya 15-20 min, walk placa catalunya/la rambla, hotel pick return barcelona,  ",5
5209,"perfect family vacation spent week jardin cluny family room floor, highly recommend room particular group does n't mind sleeping cot, room spacious newly renovated bathroom, took peek inside rooms hotel minuscule comparison.service friendly efficient, problem delay hours check-in- longer jetlag, location wonderful, just steps away place maubert cafes bakeries, metro stop right corner, favorite paris museum cluny museum block away, days great street market square interesting mix food vendors artisans.we breakfast hotel, did look breakfast room quite nice spite fact sub-basement, not imagine choose expensive hotel basement breakfast cafes neighborhood.overall recommend hotel, good value situated friendly staff, looking clean comfortable pleasant base explore paris jardin cluny good choice,  ",4
4376,"wonderful best hotel paris wonderful service friendly staff not stuck-up location just champs elysees surroundings rooms beautiful especially suites, food excellent le cinq la galerie, stayed birthday arrived hotel shopping trip staff waiting outside suite birthday cake, service,  ",5
3551,"great vacation-iberostar great, room renovated room king size bed, room lovely clean, bathroom good size clean hairdryer worked intermittently, maid kept mini-bar stocked room clean.food food restaurants make reservations better restaurant buffet, gourmet restaurant lacouple jambalya restaurant good, steakhouse just ok. buffets good got repetitive, virtually food choices night really, said drink water restaurants recommend not friend did did n't, got sick did n't drinks unlimited drinks provided, unusually sweet good selection, pool not serve drinks bar pool them.pool good size plenty chairs nice swim bar lots activities, pool near swim bar kept regularly, little dirty.beach beach kept plenty chairs, topless sunbathing allowed alot europeans resort took getting used,  ",4
2150,"supeb business hotel overnighted hotel think thats pretty visitors, best things hotel:1. new greatly furnished 32in flat screen panel great bathroom bed room, new best 2, excellent front-desk service extremely polite fast accomodating going way.3, right terminal d catching early flight morning no travel time terminal, flight leaves terminal skylink works pretty fast, dont say truly understand hotel currently 1 dallas, recommend wholeheartedly.forgot say arrived 10pm left early morning not flights taking time occasions hear planes roaring wonder day,  ",5
